"OrderID","ProductID","UnitPrice","Quantity","Discount","CustomerID","OrderDate","Shipper","Freight","Dest"
10288,54,5.9,10,0.1,"REGGC","1996-08-23","Speedy Express",7.4500003,"Italy"
10248,11,14,12,0,"VINET","1996-07-04","Federal Shipping",32.38,"France"
10328,68,10,10,0,"FURIB","1996-10-14","Federal Shipping",87.03,"Portugal"
10532,66,17,24,0,"EASTC","1997-05-09","Federal Shipping",74.46,"UK"
10368,64,26.6,35,0.1,"ERNSH","1996-11-29","United Package",101.950005,"Austria"
10571,14,23.25,11,0.15,"ERNSH","1997-06-17","Federal Shipping",26.06,"Austria"
10614,39,18,5,0,"BLAUS","1997-07-29","Federal Shipping",1.93,"Germany"
10451,55,19.2,120,0.1,"QUICK","1997-02-19","Federal Shipping",189.09,"Germany"
10409,14,18.6,12,0,"OCEAN","1997-01-09","Speedy Express",29.83,"Argentina"
10492,25,11.2,60,0.05,"BOTTM","1997-04-01","Speedy Express",62.89,"Canada"
10698,29,123.78999,12,0.05,"ERNSH","1997-10-09","Speedy Express",272.47,"Austria"
10827,10,31,15,0,"BONAP","1998-01-12","United Package",63.54,"France"
10911,17,39,12,0,"GODOS","1998-02-26","Speedy Express",38.19,"Spain"
10657,56,38,45,0,"SAVEA","1997-09-04","United Package",352.69,"USA"
10954,45,9.5,30,0,"LINOD","1998-03-17","Speedy Express",27.91,"Venezuela"
10999,77,13,21,0.05,"OTTIK","1998-04-03","United Package",96.350006,"Germany"
10739,52,7,18,0,"VINET","1997-11-12","Federal Shipping",11.08,"France"
10288,68,10,3,0.1,"REGGC","1996-08-23","Speedy Express",7.4500003,"Italy"
11039,57,19.5,28,0,"LINOD","1998-04-21","United Package",65,"Venezuela"
10409,21,8,12,0,"OCEAN","1997-01-09","Speedy Express",29.83,"Argentina"
10571,42,14,28,0.15,"ERNSH","1997-06-17","Federal Shipping",26.06,"Austria"
10740,28,45.6,5,0.2,"WHITC","1997-11-13","United Package",81.880005,"USA"
10533,4,22,50,0.05,"FOLKO","1997-05-12","Speedy Express",188.04,"Sweden"
10572,16,17.449999,12,0.1,"BERGS","1997-06-18","United Package",116.43,"Sweden"
10740,35,18,35,0.2,"WHITC","1997-11-13","United Package",81.880005,"USA"
